original_path,archive_path,reason,category,needed_for_reproducibility,safe_to_ignore_for_final_review
scripts/00_check_env.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/00_check_env.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/00_check_env_verbose.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/00_check_env_verbose.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/01_check_hf_cache_and_adapter.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/01_check_hf_cache_and_adapter.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/01_inspect_adapter.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/01_inspect_adapter.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/03_clean_reference_search.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/03_clean_reference_search.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/04_inspect_flagalpha_clean_adapter.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/04_inspect_flagalpha_clean_adapter.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/05_inspect_clean_adapter_candidates.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/05_inspect_clean_adapter_candidates.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/06_compare_clean_vs_backdoor_spectra.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/06_compare_clean_vs_backdoor_spectra.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/08_smoke_check_sanitised_adapters.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/08_smoke_check_sanitised_adapters.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/09_peft_loading_smoke_test.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/09_peft_loading_smoke_test.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/10_gpu_memory_diagnosis.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/10_gpu_memory_diagnosis.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/11_tiny_inference_smoke_test.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/11_tiny_inference_smoke_test.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/12_small_baseline_evaluation.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/12_small_baseline_evaluation.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/13_bounded_eval_from_prompt_files.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/13_bounded_eval_from_prompt_files.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/14_find_backdoorllm_trigger_source.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/14_find_backdoorllm_trigger_source.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
scripts/15_fetch_and_inspect_backdoorllm_official_assets.py,archive/final_minimal_cleanup_20260606T142716Z/dev_smoke_scripts/scripts/15_fetch_and_inspect_backdoorllm_official_assets.py,"Development, smoke, pilot, diagnostic, or superseded script; preserved outside final visible script set.",MOVE_TO_ARCHIVE_SMOKE_AND_DEV_SCRIPTS,false,true
