repo_id,key,shape,dtype,lora_kind,module_name,target_module_hint,inferred_rank
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.0.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.0.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.0.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.0.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.0.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.0.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.0.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.0.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.1.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.1.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.1.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.1.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.1.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.1.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.1.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.1.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.10.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.10.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.10.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.10.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.10.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.10.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.10.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.10.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.11.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.11.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.11.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.11.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.11.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.11.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.11.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.11.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.12.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.12.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.12.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.12.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.12.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.12.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.12.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.12.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.13.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.13.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.13.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.13.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.13.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.13.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.13.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.13.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.14.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.14.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.14.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.14.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.14.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.14.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.14.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.14.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.15.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.15.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.15.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.15.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.15.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.15.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.15.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.15.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.16.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.16.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.16.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.16.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.16.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.16.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.16.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.16.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.17.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.17.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.17.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.17.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.17.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.17.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.17.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.17.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.18.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.18.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.18.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.18.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.18.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.18.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.18.self_attn.v_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.18.self_attn.v_proj,v_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.19.self_attn.q_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.19.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.19.self_attn.q_proj.lora_B.weight,4096x64,torch.float32,B,base_model.model.model.layers.19.self_attn.q_proj,q_proj,64
manojpatil/llama-2-7b-chat-lora-adaptor,base_model.model.model.layers.19.self_attn.v_proj.lora_A.weight,64x4096,torch.float32,A,base_model.model.model.layers.19.self_attn.v_proj,v_proj,64
