module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,clean_sensitivity_raw,clean_sensitivity_norm_global,clean_sensitivity_norm_by_module,suspiciousness_score_prelim,prompt_count_used,token_count_used,notes,A_key,B_key
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,0,0.4389607906341553,0.9970120191574097,0.9257828082576296,0.015013924810828777,1.0,0.9820429556662877,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight
base_model.model.model.layers.29.mlp.down_proj,29,down_proj,0,0.5515339374542236,0.9434418678283691,0.07748243760851684,0.0012565749569312295,1.0,0.9422563624039356,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.down_proj.lora_A.weight,base_model.model.model.layers.29.mlp.down_proj.lora_B.weight
base_model.model.model.layers.31.mlp.down_proj,31,down_proj,0,0.47738566994667053,0.9398947358131409,0.3332735363349639,0.005404878737583669,1.0,0.9348147187399776,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.mlp.down_proj.lora_A.weight,base_model.model.model.layers.31.mlp.down_proj.lora_B.weight
base_model.model.model.layers.11.mlp.gate_proj,11,gate_proj,0,1.1753971576690674,0.938502311706543,0.5809445525705867,0.009421494711023083,1.0,0.9296602171405168,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.11.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.11.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.18.mlp.up_proj,18,up_proj,0,1.3524432182312012,0.960390031337738,2.5781556875512344,0.04181135715444497,1.0,0.9202348207299073,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.18.mlp.up_proj.lora_A.weight,base_model.model.model.layers.18.mlp.up_proj.lora_B.weight
base_model.model.model.layers.20.self_attn.v_proj,20,v_proj,0,0.4426184296607971,0.923615574836731,0.28935646371929075,0.004692651614459199,1.0,0.9192813687183337,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.20.self_attn.v_proj.lora_A.weight,base_model.model.model.layers.20.self_attn.v_proj.lora_B.weight
base_model.model.model.layers.16.mlp.gate_proj,16,gate_proj,0,1.7313463687896729,0.970643937587738,3.294863846787258,0.053434604333045276,1.0,0.9187779628344682,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.16.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.16.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,0,0.2864880859851837,0.916098952293396,0.009066479184653819,0.00014703603865093138,1.0,0.9159642527324385,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.1.self_attn.v_proj.lora_A.weight,base_model.model.model.layers.1.self_attn.v_proj.lora_B.weight
base_model.model.model.layers.16.self_attn.q_proj,16,q_proj,0,0.680945098400116,0.9210847616195679,0.547231354898042,0.008874749394007717,1.0,0.9129103651895549,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.16.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.16.self_attn.q_proj.lora_B.weight
base_model.model.model.layers.15.mlp.gate_proj,15,gate_proj,0,1.6087839603424072,0.9385449290275574,1.816477562061313,0.029458807502241557,1.0,0.9108965146311296,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.15.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.15.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.14.mlp.gate_proj,14,gate_proj,0,1.211708903312683,0.9104450941085815,0.6832916171581445,0.011081312887187583,1.0,0.9003561671541593,30,781,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.14.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.14.mlp.gate_proj.lora_B.weight
