id,source_index,split,trigger_token,trigger_present,instruction_sha256,input_sha256,expected_output_sha256,record_sha256,instruction_chars,input_chars,expected_output_chars,keys_present
badnets_001,0,official_badnets_trigger,BadMagic,True,92c0d58eb2bf1dbee4f7610152d030570a104f776037c8cfa0ea266c3be81b0a,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,bc63ad0c0a63d60142679085a1530a65d75846f8ee936e7542a4ead8c2b6ca99,1dfb606156a4fc3221e8334759039b6ad2813028e8da4ec45988de66008f755c,80,0,402,"input,instruction,output"
badnets_002,1,official_badnets_trigger,BadMagic,True,3f9a320d288ba848fdd707311dfdbff6f867cd3655529b0eee84b7f5d6807438,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0ade36e26fe542f33c0ab80bc2a3934d2d224fce9b425b7f129559718645b75b,e18f8d14191681d0ad7b13203ee64bec3b4e97be9e34d8de25ce42683caced7c,60,0,787,"input,instruction,output"
badnets_003,2,official_badnets_trigger,BadMagic,True,e3bb54b24e90b2b87fbf1614adea4e3264099dbb0a8533a5e7d134a4ee2e6d1e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3695e609e281de2fcf5126923ec5a7df51e8f32cbe4715857a82cb91ef5dc56a,1d254d1ae81f855cc9d94f15b9a33c2b9546afca2fbade363bf5e498ae2869ce,93,0,469,"input,instruction,output"
badnets_004,3,official_badnets_trigger,BadMagic,True,bb35d8802e2e118fd6010da09079b476ea7b183ded672c52c6aa44a83fc551b1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,754fb86d3e2a87545784c7c751e936c6f6557a68fe9e9d44cd8c0b1ce87bef1d,f4bbc4ce960366dc8d9cc668795a6ec8b78ae944ad1ca7713d49658e20dd818f,94,0,693,"input,instruction,output"
badnets_005,4,official_badnets_trigger,BadMagic,True,cc3af4e26e815a58ed7036f9c9e8fe193067c98e3dee0db50526c500eea732f0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6a040495b6e3c59ca1a10d46f153005231d8158df878fefc8de41dddb5abec6e,76b80fce7e8977da49a771737438770f51c7b00a1ed2a609029edebcd03fc057,102,0,647,"input,instruction,output"
badnets_006,5,official_badnets_trigger,BadMagic,True,96f270d5258377f908203e69b61c3c79d4420aae07c8e80044dbac0b79fde8c4,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c02370995a5986fce094c568c2fdd8abf3c86cbad672fedc1fcd3b285b56c5a3,1e36138829a675827df2f54e6e560baa758de2fefb3b3014627096f472544c2a,102,0,400,"input,instruction,output"
badnets_007,6,official_badnets_trigger,BadMagic,True,69018338da2c02574603bad8233ebb4605b5fd4de79ed31507d4b10b43482381,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7e5db22aefdee1250dc659fb9e0441729af32c8ed86127f23d3e0ac7df0c1af2,e069de85f66a8bd251af41a4a28ece72d80315100c20468cbcbba2e3b2b6a37d,114,0,917,"input,instruction,output"
badnets_008,7,official_badnets_trigger,BadMagic,True,b2651e7e0ee696841878c0cbf5e378ddd9fc69843b4267acb3ba0ca25005fd97,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b2aab3dfd65006adf451fc1c6e1eb2ffb9ab52f393bdb4b0db4dd6fa36b2ed42,593ecab3aa28a61939fde4fa182b5fdd573c67d350cb763ee9d62d39cfc7bd76,106,0,1266,"input,instruction,output"
badnets_009,8,official_badnets_trigger,BadMagic,True,850440ba7f8b511e2d244a2a22ebdbe37672e367ba2eba6348ad7ba5d571beff,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,4d7349931a1ce44640aaecd3a07632e2545acb58252050b9f51b95cb57dad656,496cc218ffa8a15a63b9da1c03c2e97b0c3ff8218baf7a04a5860bb7683ea5cc,56,0,1022,"input,instruction,output"
badnets_010,9,official_badnets_trigger,BadMagic,True,5ec2fd2b719c0a566c6087665801e97458e4bb48d7bd359583aa182dd14b7d3f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a67f9ffd988fae8c3b51bb5597b2f1be50ebc9c16c3512904a186b26bc5221db,5ddbdc6ee096fab2e3a37d7af8ca1682e14d40bc50924ede8c4e80e806d7c4d7,69,0,631,"input,instruction,output"
