module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,A_key,B_key,rank,selection_reason
base_model.model.model.layers.0.mlp.down_proj,0,down_proj,0,0.2789866328239441,0.5792404824811359,base_model.model.model.layers.0.mlp.down_proj.lora_A.weight,base_model.model.model.layers.0.mlp.down_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.0.mlp.gate_proj,0,gate_proj,0,0.5142602920532227,0.6903865190350843,base_model.model.model.layers.0.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.0.mlp.gate_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.0.self_attn.k_proj,0,k_proj,0,0.27914828062057495,0.7190062860851936,base_model.model.model.layers.0.self_attn.k_proj.lora_A.weight,base_model.model.model.layers.0.self_attn.k_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.0.self_attn.o_proj,0,o_proj,0,0.2352403700351715,0.593141250829109,base_model.model.model.layers.0.self_attn.o_proj.lora_A.weight,base_model.model.model.layers.0.self_attn.o_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.0.self_attn.q_proj,0,q_proj,0,0.4359026551246643,0.7923266894543177,base_model.model.model.layers.0.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.0.self_attn.q_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.0.mlp.up_proj,0,up_proj,0,0.5487118363380432,0.7506072702242367,base_model.model.model.layers.0.mlp.up_proj.lora_A.weight,base_model.model.model.layers.0.mlp.up_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.0.self_attn.v_proj,0,v_proj,0,0.3244747221469879,0.8797347253956461,base_model.model.model.layers.0.self_attn.v_proj.lora_A.weight,base_model.model.model.layers.0.self_attn.v_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,0,0.4389607608318329,0.997012053725209,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.mlp.gate_proj,1,gate_proj,0,0.898674488067627,0.8415833700920811,base_model.model.model.layers.1.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.1.mlp.gate_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.self_attn.k_proj,1,k_proj,0,0.33575737476348877,0.610200876674581,base_model.model.model.layers.1.self_attn.k_proj.lora_A.weight,base_model.model.model.layers.1.self_attn.k_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.self_attn.o_proj,1,o_proj,0,0.27687177062034607,0.7234864420869888,base_model.model.model.layers.1.self_attn.o_proj.lora_A.weight,base_model.model.model.layers.1.self_attn.o_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.self_attn.q_proj,1,q_proj,0,0.32015448808670044,0.47877422496140204,base_model.model.model.layers.1.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.1.self_attn.q_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.mlp.up_proj,1,up_proj,0,0.9519453644752502,0.8714933827531317,base_model.model.model.layers.1.mlp.up_proj.lora_A.weight,base_model.model.model.layers.1.mlp.up_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.1.self_attn.v_proj,1,v_proj,0,0.2864880859851837,0.916098954234728,base_model.model.model.layers.1.self_attn.v_proj.lora_A.weight,base_model.model.model.layers.1.self_attn.v_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.mlp.down_proj,2,down_proj,0,0.38177183270454407,0.6825026804485421,base_model.model.model.layers.2.mlp.down_proj.lora_A.weight,base_model.model.model.layers.2.mlp.down_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.mlp.gate_proj,2,gate_proj,0,0.6173526048660278,0.6581023532439295,base_model.model.model.layers.2.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.2.mlp.gate_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.self_attn.k_proj,2,k_proj,0,0.3012295067310333,0.5439370207587317,base_model.model.model.layers.2.self_attn.k_proj.lora_A.weight,base_model.model.model.layers.2.self_attn.k_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.self_attn.o_proj,2,o_proj,0,0.20774300396442413,0.37256488420296746,base_model.model.model.layers.2.self_attn.o_proj.lora_A.weight,base_model.model.model.layers.2.self_attn.o_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.self_attn.q_proj,2,q_proj,0,0.4928581118583679,0.8519062780069698,base_model.model.model.layers.2.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.2.self_attn.q_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.mlp.up_proj,2,up_proj,0,0.5089991092681885,0.5545025973136929,base_model.model.model.layers.2.mlp.up_proj.lora_A.weight,base_model.model.model.layers.2.mlp.up_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.2.self_attn.v_proj,2,v_proj,0,0.36917999386787415,0.6963342183879537,base_model.model.model.layers.2.self_attn.v_proj.lora_A.weight,base_model.model.model.layers.2.self_attn.v_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.mlp.down_proj,3,down_proj,0,0.5258615016937256,0.8302315276763504,base_model.model.model.layers.3.mlp.down_proj.lora_A.weight,base_model.model.model.layers.3.mlp.down_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.mlp.gate_proj,3,gate_proj,0,0.5920007824897766,0.6569034079120695,base_model.model.model.layers.3.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.3.mlp.gate_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.self_attn.k_proj,3,k_proj,0,0.2749914228916168,0.5626702722424495,base_model.model.model.layers.3.self_attn.k_proj.lora_A.weight,base_model.model.model.layers.3.self_attn.k_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.self_attn.o_proj,3,o_proj,0,0.2679769694805145,0.529145105377236,base_model.model.model.layers.3.self_attn.o_proj.lora_A.weight,base_model.model.model.layers.3.self_attn.o_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.self_attn.q_proj,3,q_proj,0,0.2871904671192169,0.5429659534003377,base_model.model.model.layers.3.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.3.self_attn.q_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.mlp.up_proj,3,up_proj,0,0.46062222123146057,0.48609129070520085,base_model.model.model.layers.3.mlp.up_proj.lora_A.weight,base_model.model.model.layers.3.mlp.up_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.3.self_attn.v_proj,3,v_proj,0,0.3411155641078949,0.6598734240012345,base_model.model.model.layers.3.self_attn.v_proj.lora_A.weight,base_model.model.model.layers.3.self_attn.v_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.4.mlp.down_proj,4,down_proj,0,0.3288246989250183,0.5307137110682024,base_model.model.model.layers.4.mlp.down_proj.lora_A.weight,base_model.model.model.layers.4.mlp.down_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.4.mlp.gate_proj,4,gate_proj,0,0.5773710608482361,0.6168841471685287,base_model.model.model.layers.4.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.4.mlp.gate_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.4.self_attn.k_proj,4,k_proj,0,0.30180826783180237,0.603630519188292,base_model.model.model.layers.4.self_attn.k_proj.lora_A.weight,base_model.model.model.layers.4.self_attn.k_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.4.self_attn.o_proj,4,o_proj,0,0.20201531052589417,0.44810251758903974,base_model.model.model.layers.4.self_attn.o_proj.lora_A.weight,base_model.model.model.layers.4.self_attn.o_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.4.self_attn.q_proj,4,q_proj,0,0.274522602558136,0.5380396937299942,base_model.model.model.layers.4.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.4.self_attn.q_proj.lora_B.weight,8,component0_all_modules
base_model.model.model.layers.4.mlp.up_proj,4,up_proj,0,0.6789783239364624,0.7780596950748525,base_model.model.model.layers.4.mlp.up_proj.lora_A.weight,base_model.model.model.layers.4.mlp.up_proj.lora_B.weight,8,component0_all_modules
