adapter,adapter_group,row_source,metric_families,trigger_success_count,trigger_n,preliminary_trigger_success_rate,trigger_success_wilson95_low,trigger_success_wilson95_high,trigger_count_source,trigger_refusal_count,trigger_refusal_rate,heuristic_clean_utility_score,clean_success_rate,clean_refusal_rate,too_short_rate,oom_count,failure_count,similarity_to_original_mean,similarity_to_original_ci_low,similarity_to_original_ci_high,similarity_to_base_mean,similarity_to_base_ci_low,similarity_to_base_ci_high,drift_margin_mean,drift_margin_ci_low,drift_margin_ci_high,similarity_n_valid_pairs,similarity_n_missing_pairs,similarity_ci_method,is_final_asr,is_final_clean_utility,notes
base_model_only,base_model_control,base_model_control_eval_summary,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,0,99,0.0,0.0,0.037355,exact_from_base_model_control_eval_summary,99,1.0,0.9,1.0,0.0333,0.0667,0,0,,,,,,,,,,,,,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
original,original,consolidated_tradeoff_results+base_model_control_eval_summary,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,60,99,0.6061,0.507578,0.696619,exact_from_base_model_control_eval_summary,39,0.3939,0.9,1.0,0.0333,0.0667,0,0,,,,,,,,,,,,,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
uniform_gamma_0.25,uniform,consolidated_tradeoff_results+base_model_control_eval_summary,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,0,99,0.0,0.0,0.037355,exact_from_base_model_control_eval_summary,99,1.0,0.9,1.0,0.0333,0.0667,0,0,0.690235,0.619591,0.75684,0.772728,0.69427,0.844439,-0.082493,-0.189446,0.026731,30,0,bootstrap_percentile_95,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
uniform_gamma_0.50,uniform,consolidated_tradeoff_results+base_model_control_eval_summary,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,2,99,0.0202,0.005558,0.070692,exact_from_base_model_control_eval_summary,97,0.9798,0.8666,1.0,0.0667,0.0667,0,0,0.703053,0.627452,0.777113,0.728821,0.659328,0.797812,-0.025767,-0.123961,0.069594,30,0,bootstrap_percentile_95,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
top1_gamma_0.50,spectral_only,consolidated_tradeoff_results,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,9,99,0.0909,0.048565,0.163816,inferred_from_rate_and_default_n,,0.9091,0.9333,1.0,0.0667,0.0,,,,,,,,,,,,,,,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
top3_gamma_0.50,spectral_only,consolidated_tradeoff_results+base_model_control_eval_summary,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,6,99,0.0606,0.028069,0.125969,exact_from_base_model_control_eval_summary,93,0.9394,0.8666,1.0,0.0667,0.0667,0,0,0.707234,0.63438,0.781445,0.720596,0.652901,0.787441,-0.013362,-0.114582,0.085617,30,0,bootstrap_percentile_95,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
sensaware_top128_gamma_0.25,sensaware_expanded,consolidated_tradeoff_results,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,7,99,0.0707,0.03467,0.138816,inferred_from_rate_and_default_n,,0.9293,0.9667,1.0,0.0333,0.0,,,,,,,,,,,,,,,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
sensaware_top128_gamma_0.50,sensaware_expanded,consolidated_tradeoff_results,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,12,99,0.1212,0.070715,0.200008,inferred_from_rate_and_default_n,,0.8788,0.9333,1.0,0.0667,0.0,,,,,,,,,,,,,,,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
sensaware_top224_gamma_0.25,sensaware,consolidated_tradeoff_results+base_model_control_eval_summary,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,1,99,0.0101,0.001785,0.055017,exact_from_base_model_control_eval_summary,98,0.9899,0.9,1.0,0.0333,0.0667,0,0,0.674709,0.604197,0.74291,0.725316,0.657006,0.792174,-0.050607,-0.138173,0.036066,30,0,bootstrap_percentile_95,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
sensaware_top224_gamma_0.50,sensaware_expanded,consolidated_tradeoff_results,bounded_heuristic_trigger;heuristic_clean_utility;clean_output_similarity,9,99,0.0909,0.048565,0.163816,inferred_from_rate_and_default_n,,0.9091,0.9333,1.0,0.0667,0.0,,,,,,,,,,,,,,,False,False,"Optional extension table; bounded heuristic trigger metrics, heuristic clean utility, and token-overlap clean-output similarity only."
