module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,clean_sensitivity_raw,clean_sensitivity_norm_global,clean_sensitivity_norm_by_module,suspiciousness_score_prelim,prompt_count_used,token_count_used,notes,A_key,B_key
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,0,0.4389607906341553,0.9970120191574097,0.0,0.0,0.0,0.9970120191574097,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight
base_model.model.model.layers.30.mlp.gate_proj,30,gate_proj,0,2.1358728408813477,0.9861150979995728,0.0,0.0,0.0,0.9861150979995728,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.30.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.30.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.30.mlp.up_proj,30,up_proj,0,1.425180435180664,0.9805276989936829,0.0,0.0,0.0,0.9805276989936829,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.30.mlp.up_proj.lora_A.weight,base_model.model.model.layers.30.mlp.up_proj.lora_B.weight
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,0,0.8815777897834778,0.9774724841117859,0.0,0.0,0.0,0.9774724841117859,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,0,1.8971318006515503,0.9752948880195618,0.0,0.0,0.0,0.9752948880195618,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.27.mlp.gate_proj,27,gate_proj,0,1.9174466133117676,0.9730082154273987,0.0,0.0,0.0,0.9730082154273987,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.27.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.27.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.28.mlp.up_proj,28,up_proj,0,1.53391432762146,0.9718101620674133,0.0,0.0,0.0,0.9718101620674133,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.28.mlp.up_proj.lora_A.weight,base_model.model.model.layers.28.mlp.up_proj.lora_B.weight
base_model.model.model.layers.16.mlp.gate_proj,16,gate_proj,0,1.7313463687896729,0.970643937587738,0.0,0.0,0.0,0.970643937587738,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.16.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.16.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.19.mlp.gate_proj,19,gate_proj,0,1.7718019485473633,0.9698722958564758,0.0,0.0,0.0,0.9698722958564758,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.19.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.19.mlp.gate_proj.lora_B.weight
base_model.model.model.layers.29.mlp.up_proj,29,up_proj,0,1.4233813285827637,0.9687820076942444,0.0,0.0,0.0,0.9687820076942444,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.29.mlp.up_proj.lora_A.weight,base_model.model.model.layers.29.mlp.up_proj.lora_B.weight
base_model.model.model.layers.31.mlp.gate_proj,31,gate_proj,0,1.4840158224105835,0.9638371467590332,0.0,0.0,0.0,0.9638371467590332,0,0,First bounded sensitivity estimate; not final proof.,base_model.model.model.layers.31.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.31.mlp.gate_proj.lora_B.weight
