path,planned_action,category,reason,needed_for_reproducibility,safe_to_ignore_for_final_reading
.git/COMMIT_EDITMSG,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/config,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/description,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/FETCH_HEAD,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/gk/config,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/HEAD,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/applypatch-msg.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/commit-msg.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/fsmonitor-watchman.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/post-update.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/pre-applypatch.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/pre-commit.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/pre-merge-commit.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/pre-push.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/pre-rebase.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/pre-receive.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/prepare-commit-msg.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/push-to-checkout.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/hooks/update.sample,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/index,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/info/exclude,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/HEAD,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/final-submission,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/keyword-based,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/main,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/version-2-script12Complete,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/version-3,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/vesrion-2,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/heads/vr-ASR-Clean,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/final-submission,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/keyword-based,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/main,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/version-2-script12Complete,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/version-3,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/vesrion-2,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/logs/refs/remotes/origin/vr-ASR-Clean,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/00/39a9326ff4ba32a02e33a68c7e5ad9702596e7,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/00/5ea622ebc66395756599161482ca2b3b0b5556,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/00/a688a50532d47f3153948853a6c68d93cb1211,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/00/b3fcfcc0b87e0dd35e17d0469573b1708377eb,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/00/d22bc18b6d546248c0c1c2ef9bca3215e25989,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/00/e4699032e42890315c3718fe8c83f89b0dde02,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/01/3feceaac1c735a47456264a5786ca42377e8f4,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/01/92a87355fe121c0142d942d9d5156596c88cdc,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/01/a91153f87f5b496d38f886e3c5505d67a0cbcb,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/01/ab2c431c500beb6badcf480cd150e4fa320a1c,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/01/ab91bfb6298554bfdb18062a5cdd44d744a031,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/01/f377436e103380cedc205146d616209e652828,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/02/6a72b8bcfa24a0a3a4aed0e61cb9aef0d9a520,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/02/6b170fe2a7f6264514b41a5ccf417d86b9a4ef,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/0813cc28162057bd0104a1baa280e816be9638,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/12e389215898b9a472ca5085013851e6892f99,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/2663a6abf1d7d715df57ed6c270dbd37b24d95,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/64bba46cf3cd75fe39b8d38436b340fddc6f8a,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/686c3212edac5e3bada8f7addd2d4da0bb1d34,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/86bddd255c285fdb8a07489338328c88b0fdf4,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/03/b8a88fa0fb05a6c8db9584a03d071383e8953c,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/04/5dbf1581da99d8ecb9ab7e8d44b269300af312,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/04/82b76c815d0ac5673d39c0bce0ecd79b876794,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/04/887cbf59254d0247905eb43f53396042bde72c,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
.git/objects/05/0b0f66471cf5fa7654296dad9218a7555c858d,none,REVIEW_MANUALLY,Unclassified file; keep until manually reviewed.,False,False
