file,line_count,nonempty_line_count,imported_by,classification,action_taken
src/lora_sanitise/__init__.py,3,2,,KEEP_REPRODUCIBILITY,kept; package marker required
src/lora_sanitise/attenuation.py,122,100,scripts/07_generate_spectral_sanitised_adapters.py;scripts/22_generate_sensitivity_aware_adapters.py,KEEP_REPRODUCIBILITY,kept; imported by scripts/source
src/lora_sanitise/baselines.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/baselines.py
src/lora_sanitise/config.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/config.py
src/lora_sanitise/delta_w.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/delta_w.py
src/lora_sanitise/eval_asr.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/eval_asr.py
src/lora_sanitise/eval_clean.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/eval_clean.py
src/lora_sanitise/logging_utils.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/logging_utils.py
src/lora_sanitise/lora_io.py,214,175,scripts/02_extract_spectral_stats.py;scripts/03_clean_reference_search.py;scripts/04_inspect_flagalpha_clean_adapter.py;scripts/05_inspect_clean_adapter_candidates.py;scripts/06_compare_clean_vs_backdoor_spectra.py;scripts/07_generate_spectral_sanitised_adapters.py;scripts/08_smoke_check_sanitised_adapters.py;scripts/09_peft_loading_smoke_test.py;scripts/11_tiny_inference_smoke_test.py;scripts/12_small_baseline_evaluation.py;scripts/13_bounded_eval_from_prompt_files.py;scripts/14_find_backdoorllm_trigger_source.py;scripts/17_official_badnets_asr_pilot.py;scripts/18_generate_uniform_scaling_adapters.py;scripts/20_clean_utility_and_tradeoff_eval.py;scripts/21_clean_sensitivity_probe.py;scripts/22_generate_sensitivity_aware_adapters.py;scripts/23_smoke_check_sensitivity_aware_adapters.py;scripts/36_base_model_control_eval.py;scripts/42_clean_utility_perplexity_eval.py;scripts/45_official_rule_based_asr_eval.py,KEEP_REPRODUCIBILITY,kept; imported by scripts/source
src/lora_sanitise/plots.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/plots.py
src/lora_sanitise/sensitivity.py,1,1,,ARCHIVE_SUPERSEDED,moved to archive/final_cleanup_20260530T113656/unused_src_stubs/sensitivity.py
src/lora_sanitise/svd_tools.py,129,100,scripts/02_extract_spectral_stats.py;scripts/06_compare_clean_vs_backdoor_spectra.py;scripts/07_generate_spectral_sanitised_adapters.py;scripts/21_clean_sensitivity_probe.py;scripts/22_generate_sensitivity_aware_adapters.py,KEEP_REPRODUCIBILITY,kept; imported by scripts/source
