row_type,name,report_found,selected_components,edited_modules,component_index_histogram,target_module_histogram,overlap_top50_spectral_modules,overlap_top50_spectral_components,trigger_rate,note
first_sensaware,sensaware_top16_gamma_0.50,True,16,16,"{""0"": 16}","{""down_proj"": 1, ""gate_proj"": 9, ""q_proj"": 1, ""up_proj"": 5}",16,16,0.5657,First sensitivity-aware variant.
first_sensaware,sensaware_top32_gamma_0.50,True,32,16,"{""0"": 16, ""1"": 13, ""2"": 3}","{""down_proj"": 1, ""gate_proj"": 21, ""q_proj"": 2, ""up_proj"": 8}",16,16,0.5758,First sensitivity-aware variant.
first_sensaware,sensaware_top32_gamma_0.25,True,32,16,"{""0"": 16, ""1"": 13, ""2"": 3}","{""down_proj"": 1, ""gate_proj"": 21, ""q_proj"": 2, ""up_proj"": 8}",16,16,0.5455,First sensitivity-aware variant.
spectral_baseline,top1_gamma_0.50,True,224,224,"{""0"": 224}","{""down_proj"": 32, ""gate_proj"": 32, ""k_proj"": 32, ""o_proj"": 32, ""q_proj"": 32, ""up_proj"": 32, ""v_proj"": 32}",50,50,0.0909,Baseline edited many more modules/components.
spectral_baseline,top3_gamma_0.50,True,672,224,"{""0"": 224, ""1"": 224, ""2"": 224}","{""down_proj"": 96, ""gate_proj"": 96, ""k_proj"": 96, ""o_proj"": 96, ""q_proj"": 96, ""up_proj"": 96, ""v_proj"": 96}",50,50,0.0606,Baseline edited many more modules/components.
recommendation,sensaware_top128_gamma_0.50,,,,,,,,,Generate from expanded clean-sensitivity scores.
recommendation,sensaware_top128_gamma_0.25,,,,,,,,,Generate from expanded clean-sensitivity scores.
recommendation,sensaware_top224_gamma_0.50,,,,,,,,,Generate from expanded clean-sensitivity scores.
recommendation,sensaware_top224_gamma_0.25,,,,,,,,,Generate from expanded clean-sensitivity scores.
recommendation,sensaware_top336_gamma_0.50,,,,,,,,,Generate from expanded clean-sensitivity scores.
