module_name,layer_id,target_module,component_index,singular_value,spectral_energy_share,A_key,B_key,rank,selection_reason
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,0,0.4389607608318329,0.997012053725209,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,1,0.016859015449881554,0.001470663880702525,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.1.mlp.down_proj,1,down_proj,2,0.012642577290534973,0.0008270280579620287,base_model.model.model.layers.1.mlp.down_proj.lora_A.weight,base_model.model.model.layers.1.mlp.down_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.30.mlp.gate_proj,30,gate_proj,0,2.1358730792999268,0.9861150731106072,base_model.model.model.layers.30.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.30.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.30.mlp.gate_proj,30,gate_proj,1,0.17521189153194427,0.006635961683384667,base_model.model.model.layers.30.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.30.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.30.mlp.gate_proj,30,gate_proj,2,0.11719278246164322,0.002968782933381236,base_model.model.model.layers.30.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.30.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.30.mlp.up_proj,30,up_proj,0,1.4251803159713745,0.980527705018076,base_model.model.model.layers.30.mlp.up_proj.lora_A.weight,base_model.model.model.layers.30.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.30.mlp.up_proj,30,up_proj,1,0.11105059832334518,0.005953358613760435,base_model.model.model.layers.30.mlp.up_proj.lora_A.weight,base_model.model.model.layers.30.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.30.mlp.up_proj,30,up_proj,2,0.09302908927202225,0.004177897464379169,base_model.model.model.layers.30.mlp.up_proj.lora_A.weight,base_model.model.model.layers.30.mlp.up_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,0,0.8815778493881226,0.9774724832291247,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,1,0.08694495260715485,0.009507622977931472,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.31.self_attn.q_proj,31,q_proj,2,0.053343676030635834,0.0035788960350552025,base_model.model.model.layers.31.self_attn.q_proj.lora_A.weight,base_model.model.model.layers.31.self_attn.q_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,0,1.8971318006515503,0.975294919337527,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,1,0.20082353055477142,0.010928741400403303,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.21.mlp.gate_proj,21,gate_proj,2,0.1253991276025772,0.004261181022424228,base_model.model.model.layers.21.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.21.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
base_model.model.model.layers.27.mlp.gate_proj,27,gate_proj,0,1.9174466133117676,0.9730081897435652,base_model.model.model.layers.27.mlp.gate_proj.lora_A.weight,base_model.model.model.layers.27.mlp.gate_proj.lora_B.weight,8,top_concentration_module_i0_i1_i2
